index,target
0,10.68
1,10.71
2,10.63
3,10.9
4,10.86
5,11.55
6,11.99
7,12.04
8,12.23
9,12.1
10,11.78
11,11.29
12,10.87
13,11.1
14,10.86
15,10.6
16,10.33
17,10.29
18,10.71
19,10.79
20,10.77
21,10.3
22,10.26
23,9.61
24,9.66
25,9.83
26,9.28
27,9.62
28,9.24
29,9.66
30,9.89
31,10.08
32,10.04
33,9.87
34,10.19
35,10.25
36,10.21
37,10.14
38,9.78
39,9.87
40,9.94
41,9.67
42,9.35
43,9.47
44,9.38
45,9.13
46,9.03
47,9.38
48,9.62
49,9.46
50,9.19
51,9.24
52,9.14
53,8.83
54,8.81
55,8.59
56,8.57
57,8.5
58,8.39
59,8.9
60,8.96
61,8.96
62,8.95
63,8.74
64,9.6
65,10.18
66,9.97
67,9.81
68,9.71
69,9.53
70,9.5
71,9.26
72,9.46
73,9.38
74,9.66
75,9.58
76,9.39
77,9.45
78,9.74
79,9.91
80,10.06
81,9.94
82,10.23
83,10.16
84,10.16
85,10.27
86,10.27
87,10.15
88,10.09
89,9.74
90,9.67
91,9.68
92,9.28
93,9.32
94,9.03
95,9.22
96,9.05
97,9.02
98,9.05
99,9.19
100,9.08
101,8.75
102,8.54
103,8.88
104,8.81
105,8.57
106,8.53
107,8.37
108,8.68
109,8.46
110,8.14
111,8.33
112,8.23
113,8.48
114,8.22
115,8.17
116,8.21
117,8.27
118,8.51
119,8.4
120,8.43
121,8.2
122,8.0
123,8.42
124,8.18
125,8.28
126,8.14
127,7.97
128,7.91
129,7.86
130,7.95
131,7.57
132,7.46
133,7.24
134,7.48
135,7.56
136,7.73
137,8.64
138,8.67
139,8.77
140,8.85
141,9.12
142,9.06
143,9.37
144,9.71
145,9.6
146,9.74
147,9.94
148,9.76
149,9.6
150,9.25
151,9.08
152,9.15
153,9.09
154,9.13
155,9.49
156,9.71
157,9.66
158,9.7
159,9.51
160,9.66
161,9.62
162,9.69
163,9.82
164,9.57
165,9.5
166,9.57
167,9.69
168,9.77
169,10.21
170,10.0
171,10.4
172,10.36
173,10.36
174,10.38
175,10.6
176,10.6
177,10.59
178,10.56
179,10.54
180,10.75
181,10.66
182,10.43
183,10.82
184,11.09
185,10.92
186,11.0
187,11.0
188,10.69
189,10.58
190,10.77
191,10.69
192,10.6
193,10.66
194,10.54
195,10.46
196,10.75
197,10.72
198,10.77
199,10.61
200,10.65
201,11.28
202,11.42
203,11.64
204,11.58
205,11.67
206,11.74
207,11.49
208,11.49
209,11.58
210,11.31
211,11.28
212,11.18
213,11.39
214,11.5
215,11.78
216,11.91
217,11.87
218,12.05
219,12.1
220,12.01
221,12.23
222,12.26
223,12.35
224,12.66
225,12.9
226,13.09
227,12.79
228,13.12
229,13.11
230,13.09
231,13.05
232,13.02
233,13.04
234,12.83
235,12.43
236,12.61
237,12.68
238,12.31
239,12.72
240,12.65
241,12.53
242,12.21
243,12.33
244,12.11
245,11.84
246,11.74
247,11.64
