index,target
0,4.632
1,6.08
2,3.194
3,2.038
4,7.428
5,2.128
6,2.212
7,7.032
8,2.202
9,3.376
10,5.108
11,4.77
12,3.062
13,6.9
14,2.808
15,4.914
16,2.494
17,2.004
18,6.758
19,4.472
20,7.994
21,5.822
22,3.286
23,2.796
24,8.702
25,6.542
26,2.254
27,4.514
28,2.068
29,3.598
30,1.94
31,4.83
32,5.258
33,2.326
34,3.704
35,5.144
36,4.968
37,6.352
38,6.67
39,5.406
40,4.22
41,5.904
42,3.144
43,3.936
44,5.692
45,4.908
46,12.614
47,4.4
48,2.688
49,6.032
50,2.4
51,5.364
52,5.186
53,6.092
54,3.66
55,1.994
56,1.912
57,2.202
58,14.232
59,0.968
60,1.034
61,0.92
62,0.93
63,0.912
64,0.982
65,0.95
66,0.988
67,0.972
68,1.1
69,0.918
70,0.926
71,0.94
72,0.908
73,0.92
74,0.938
75,1.844
76,0.928
77,0.974
78,0.908
79,0.94
80,0.862
81,0.934
82,1.006
83,0.996
84,0.962
85,0.97
86,1.9
87,0.98
88,0.992
89,0.996
90,1.9
91,0.874
92,0.954
93,0.95
94,0.908
95,0.958
96,1.84
97,0.854
98,1.014
99,0.94
100,0.92
101,0.874
102,0.94
103,0.944
104,1.002
105,0.926
106,0.916
107,0.9
108,1.072
109,0.95
110,0.928
111,0.984
112,0.888
113,0.894
114,0.936
115,0.916
116,2.972
117,0.944
118,0.968
119,0.876
120,0.918
121,1.032
122,0.924
123,16.572
124,2.864
125,5.694
126,10.256
127,8.682
128,0.84
129,6.486
130,0.976
131,5.458
132,9.616
133,7.232
134,6.104
135,6.88
136,13.158
137,0.89
138,6.614
139,5.566
140,6.344
141,1.048
142,0.974
143,8.244
144,0.916
145,5.918
146,4.388
147,8.226
148,6.084
149,7.884
150,5.716
151,6.056
152,18.39
153,9.066
154,6.368
155,5.462
156,5.26
157,0.966
158,0.888
159,16.806
160,0.976
161,5.272
162,7.86
163,6.392
164,0.992
165,16.644
166,1.88
167,5.912
168,6.46
169,7.958
170,3.044
171,8.25
172,7.21
173,0.932
174,0.918
175,5.19
176,5.504
177,7.844
178,0.886
179,6.988
180,7.654
181,0.916
182,1.83
183,5.62
184,7.324
185,0.976
186,0.954
187,8.044
188,5.396
189,5.638
190,8.532
191,1.496
192,0.914
193,9.14
194,9.404
195,7.724
196,0.928
197,0.908
198,4.832
199,0.974
200,6.54
201,0.918
202,8.384
203,4.69
204,6.11
205,0.958
206,0.906
207,0.938
208,0.912
209,8.008
210,6.94
211,4.784
212,0.902
213,0.912
214,9.186
215,0.998
216,1.906
217,5.356
218,5.472
219,7.744
220,9.2
221,10.34
222,9.252
223,8.94
224,0.916
225,0.9
226,9.544
227,9.404
228,1.116
229,9.432
230,8.89
231,0.918
232,0.896
233,6.126
234,9.408
235,5.34
236,0.948
237,0.908
238,0.938
239,5.302
240,0.96
241,6.42
242,6.61
243,0.958
244,8.95
245,1.004
246,9.212
247,4.748
248,0.996
249,0.938
250,8.136
251,8.382
252,6.506
253,0.966
254,9.824
255,5.872
256,5.614
257,5.874
258,0.98
259,6.986
260,11.562
261,7.036
262,9.14
263,1.004
264,6.432
265,6.008
266,6.108
267,8.186
268,4.788
269,5.374
270,0.956
271,0.94
272,6.648
273,6.656
274,8.86
275,1.02
276,0.984
277,6.71
278,6.468
279,5.202
280,0.968
281,0.986
282,11.694
283,3.318
284,6.802
285,6.524
286,5.312
287,6.568
288,7.924
289,9.624
290,6.892
291,0.864
292,5.552
293,3.83
294,8.022
295,11.112
296,0.888
297,8.626
298,0.94
299,4.468
300,5.564
301,0.928
302,0.87
303,8.904
304,1.03
305,9.096
306,4.884
307,0.952
308,9.094
309,5.612
310,19.512
311,0.95
312,0.936
313,5.48
314,1.02
315,5.172
316,0.986
317,0.936
318,1.85
319,0.9
320,0.902
321,0.928
322,0.978
323,0.956
324,1.122
325,1.0
326,0.9
327,0.94
328,0.94
329,1.006
330,0.98
331,1.044
332,1.098
333,0.906
334,0.908
335,0.938
336,1.3
337,3.666
338,0.888
339,8.388
340,7.084
341,13.488
342,9.5
343,13.906
344,3.064
345,0.898
346,4.648
347,4.48
348,0.968
349,4.088
350,8.584
351,3.86
352,4.158
353,3.156
354,6.722
355,7.622
356,7.562
357,3.876
358,6.476
359,2.992
360,3.41
361,9.76
362,0.976
363,2.876
364,4.234
365,7.418
366,2.656
367,0.902
368,2.02
369,3.016
370,2.844
371,10.942
372,2.344
373,4.248
374,6.738
375,2.128
376,4.446
377,1.664
378,4.098
379,3.944
380,0.968
381,1.068
382,4.174
383,8.51
384,0.912
385,0.916
386,2.162
387,3.14
388,0.938
389,0.974
390,0.844
391,2.278
392,4.22
393,8.724
394,1.014
395,2.4
396,0.938
397,0.908
398,0.938
399,10.63
400,4.33
401,6.592
402,0.924
403,1.594
404,5.754
405,6.686
406,3.4
407,0.948
408,1.738
409,4.242
410,3.67
411,7.61
412,0.908
413,4.12
414,11.166
415,0.938
416,1.012
417,1.124
418,8.074
419,3.178
420,3.378
421,3.138
422,2.192
423,0.932
424,0.98
425,18.818
426,4.952
427,4.894
428,0.986
429,4.106
430,5.24
431,8.566
432,0.968
433,4.984
434,10.914
435,0.988
436,3.66
437,1.002
438,3.034
439,1.12
440,3.228
441,4.196
442,0.956
443,2.964
444,3.744
445,6.274
446,0.984
447,1.222
448,1.0
449,0.98
450,0.908
451,1.002
452,1.152
453,1.008
454,0.988
455,0.97
456,1.024
457,0.894
458,3.888
459,0.964
460,0.936
461,0.848
462,0.914
463,0.932
464,0.944
465,0.96
466,0.888
467,0.998
468,0.978
469,0.946
470,0.888
471,0.946
472,0.988
473,0.946
474,1.158
475,1.876
476,0.948
477,0.912
478,0.862
479,1.834
480,0.932
481,0.886
482,1.968
483,0.908
484,0.948
485,2.53
486,0.954
487,0.888
488,0.922
489,0.972
490,0.992
491,1.012
492,0.944
493,0.902
494,0.948
495,1.138
496,0.908
497,1.154
498,0.924
499,0.912
500,0.908
501,0.982
502,1.072
503,0.924
504,0.92
505,0.916
506,6.468
507,4.508
508,4.562
509,0.93
510,4.896
511,9.462
512,0.994
513,1.902
514,0.908
515,5.54
516,3.02
517,3.976
518,2.874
519,0.922
520,0.918
521,7.452
522,0.96
523,0.958
524,0.984
525,9.154
526,2.246
527,4.824
528,3.78
529,6.316
530,1.086
531,0.922
532,1.998
533,6.83
534,1.918
535,1.816
536,4.404
537,0.942
538,27.284
539,0.904
540,3.078
541,2.282
542,2.356
543,9.844
544,0.982
545,0.906
546,2.34
547,4.644
548,3.206
549,0.94
550,0.904
551,0.892
552,0.992
553,3.464
554,8.046
555,0.9
556,0.96
557,8.14
558,3.18
559,0.872
560,0.928
561,5.694
562,3.316
563,1.12
564,1.938
565,5.304
566,4.048
567,0.932
568,0.922
569,6.68
570,0.968
571,5.572
572,6.468
573,0.964
574,0.966
575,5.622
576,3.384
577,0.9
578,4.268
579,1.368
580,12.644
581,4.312
582,6.888
583,0.914
584,0.93
585,1.116
586,2.664
587,2.088
588,0.932
589,3.008
590,4.622
591,0.916
592,1.798
593,0.91
594,4.498
595,8.12
596,0.976
597,1.068
598,0.916
599,4.94
600,0.896
601,0.914
602,2.682
603,5.24
604,0.916
605,0.966
606,0.926
607,5.354
608,2.082
609,1.006
610,0.956
611,6.256
612,6.256
613,3.966
614,0.988
615,0.964
616,2.444
617,6.148
618,1.868
619,0.948
620,1.098
621,5.494
622,2.33
623,0.956
624,0.884
625,2.834
626,4.124
627,4.582
628,1.006
629,1.8
